start_date,sample_size,population,candidate,approve,disapprove,total
2020-02-02,1500,a,Trump,42,29,71
2020-02-07,2200,a,Trump,57,22,79
2020-02-07,684,a,Trump,88,4,92
2020-02-07,817,a,Trump,37,37,74
2020-02-07,700,a,Trump,50,22,72
2020-02-07,1996,rv,Trump,39,35,74
2020-02-07,700,rv,Trump,71,8,79
2020-02-07,788,rv,Trump,15,60,75
2020-02-09,1500,a,Trump,39,28,67
2020-02-09,607,a,Trump,33,25,58
2020-02-16,1500,a,Trump,39,32,71
2020-02-23,1500,a,Trump,39,31,70
2020-02-24,2200,a,Trump,54,27,81
2020-02-24,737,a,Trump,84,7,91
2020-02-24,786,a,Trump,29,49,78
2020-02-24,677,a,Trump,49,24,73
2020-02-26,2592,rv,Trump,48,52,100
2020-02-26,848,rv,Trump,82,18,100
2020-02-26,925,rv,Trump,22,78,100
2020-02-26,735,rv,Trump,46,54,100
2020-02-26,1000,a,Trump,45,38,83
2020-02-28,2201,a,Trump,48,35,83
2020-02-28,694,a,Trump,84,7,91
2020-02-28,814,a,Trump,23,61,84
2020-02-28,692,a,Trump,41,33,74
2020-03-01,1500,a,Trump,37,47,84
2020-03-01,622,a,Trump,11,80,91
2020-03-01,618,a,Trump,34,41,75
2020-03-02,1115,a,Trump,38,47,85
2020-03-02,2593,a,Trump,47,48,95
2020-03-02,1128,a,Trump,86,13,99
2020-03-02,1053,a,Trump,16,82,98
2020-03-03,1990,rv,Trump,44,42,86
2020-03-03,675,rv,Trump,79,9,88
2020-03-03,769,rv,Trump,15,72,87
2020-03-04,1211,a,Trump,41,48,89
2020-03-05,1261,rv,Trump,43,49,92
2020-03-06,1000,rv,Trump,42,49,91
2020-03-06,2200,a,Trump,42,43,85
2020-03-06,658,a,Trump,81,10,91
2020-03-06,809,a,Trump,16,72,88
2020-03-06,733,a,Trump,36,41,77
2020-03-08,1001,rv,Trump,47,53,100
2020-03-08,1500,a,Trump,42,43,85
2020-03-09,1113,a,Trump,39,49,88
2020-03-09,1541,lv,Trump,42,58,100
2020-03-10,1635,a,Trump,41,46,87
2020-03-10,659,a,Trump,35,44,79
2020-03-10,1000,a,Trump,44,43,87
2020-03-10,2200,a,Trump,43,42,85
2020-03-10,693,a,Trump,83,11,94
2020-03-10,754,a,Trump,16,74,90
2020-03-10,753,a,Trump,34,41,75
2020-03-11,900,rv,Trump,45,51,96
2020-03-11,1000,rv,Trump,42,45,87
2020-03-12,850,a,Trump,46,46,92
2020-03-13,835,a,Trump,44,49,93
2020-03-13,784,rv,Trump,45,49,94
2020-03-13,1015,rv,Trump,50,50,100
2020-03-13,1000,a,Trump,44,43,87
2020-03-13,1986,rv,Trump,41,51,92
2020-03-13,677,rv,Trump,79,14,93
2020-03-13,761,rv,Trump,10,84,94
2020-03-13,1986,rv,Trump,47,43,90
2020-03-13,677,rv,Trump,83,10,93
2020-03-13,761,rv,Trump,18,73,91
2020-03-13,1020,a,Trump,60,38,98
2020-03-14,2050,a,Trump,51,49,100
2020-03-14,659,a,Trump,85,15,100
2020-03-14,779,a,Trump,26,74,100
2020-03-15,1500,a,Trump,45,46,91
2020-03-16,1115,a,Trump,47,47,94
2020-03-16,1100,a,Trump,41,55,96
2020-03-16,995,rv,Trump,41,55,96
2020-03-17,613,a,Trump,56,44,100
2020-03-17,2019,a,Trump,56,44,100
2020-03-17,662,a,Trump,86,14,100
2020-03-17,1851,rv,Trump,53,39,92
2020-03-17,614,rv,Trump,87,9,96
2020-03-17,725,rv,Trump,26,64,90
2020-03-17,744,a,Trump,28,72,100
2020-03-18,1100,rv,Trump,49,41,90
2020-03-18,1000,a,Trump,51,40,91
2020-03-18,851,a,Trump,50,45,95
2020-03-18,4428,a,Trump,49,44,93
2020-03-18,1680,a,Trump,83,13,96
2020-03-18,1981,a,Trump,24,71,95
2020-03-19,2300,a,Trump,89,12,101
2020-03-19,11537,a,Trump,48,51,99
2020-03-19,1000,lv,Trump,45,54,99
2020-03-19,6474,a,Trump,18,81,99
2020-03-19,2300,a,Trump,59,42,101
2020-03-19,2800,a,Trump,34,66,100
2020-03-19,8000,a,Trump,59,41,100
2020-03-19,4738,a,Trump,83,17,100
2020-03-20,2200,a,Trump,49,40,89
2020-03-20,709,a,Trump,85,7,92
2020-03-20,690,a,Trump,42,45,87
2020-03-20,1996,rv,Trump,42,52,94
2020-03-20,659,rv,Trump,81,16,97
2020-03-20,758,rv,Trump,14,81,95
2020-03-20,1000,a,Trump,49,42,91
2020-03-20,1000,rv,Trump,52,44,96
2020-03-20,1038,rv,Trump,52,42,94
2020-03-20,800,a,Trump,25,67,92
2020-03-21,2023,a,Trump,55,45,100
2020-03-21,661,a,Trump,87,13,100
2020-03-21,699,a,Trump,32,68,100
2020-03-21,663,a,Trump,50,50,100
2020-03-21,2190,a,Trump,53,47,100
2020-03-21,693,a,Trump,22,78,100
2020-03-21,706,a,Trump,54,47,101
2020-03-21,1011,rv,Trump,51,46,97
