"","anon_id","Submission ID","Submission Date","Date","Appropriate Orientation by your Preceptor:","Responsibilities clearly defined by your Preceptor:","Adequate Supervision on Ambulance:","Preceptors responsiveness to clinical questionsby student:","The hot wash afforded me the opportunity to discuss the patient encounter:","Incorporated as member of crew:","Educational objectives accomplished:","Overall educational experience:"
"1",272,"5906772441215069044",2024-05-04 19:14:04,2024-05-04,5,5,5,5,5,5,5,5
"2",22,"5906764485969190836",2024-05-04 19:00:48,2024-05-04,5,5,5,5,5,5,5,5
"3",227,"5906719430797533589",2024-05-04 17:45:43,2024-05-04,5,NA,NA,NA,NA,NA,NA,NA
"4",15,"5906711398539031245",2024-05-04 17:32:19,2024-05-04,5,5,5,5,5,5,5,5
"5",16,"5906711398539031245",2024-05-04 17:32:19,2024-05-04,5,5,5,5,5,5,5,5
"6",349,"5906684657241122740",2024-05-04 16:47:45,2024-05-04,5,5,5,5,5,5,5,5
"7",147,"5906017583159773844",2024-05-03 22:15:58,2024-05-03,5,5,5,5,5,5,5,5
"8",101,"5905916316827384940",2024-05-03 19:27:11,2024-05-03,5,5,5,5,5,5,5,5
"9",29,"5905902717181757927",2024-05-03 19:04:31,2024-05-03,5,5,5,5,5,5,5,5
"10",146,"5905783144637126809",2024-05-03 15:45:14,2024-05-03,5,5,5,5,5,5,5,5
"11",470,"5903789020409202356",2024-05-01 08:21:42,2024-04-26,5,5,5,5,5,5,5,5
"12",471,"5903789020409202356",2024-05-01 08:21:42,2024-04-26,5,5,5,5,5,5,5,5
"13",395,"5902258411693364309",2024-04-29 13:50:41,2024-04-26,5,5,5,5,5,5,5,5
"14",397,"5902258411693364309",2024-04-29 13:50:41,2024-04-26,5,5,5,5,5,5,5,5
"15",398,"5902258411693364309",2024-04-29 13:50:41,2024-04-26,5,5,5,5,5,5,5,5
"16",399,"5902258411693364309",2024-04-29 13:50:41,2024-04-26,5,5,5,5,5,5,5,5
"17",394,"5902258411693364309",2024-04-29 13:50:41,2024-04-26,5,5,5,5,5,5,5,5
"18",396,"5902258411693364309",2024-04-29 13:50:41,2024-04-26,5,5,5,5,5,5,5,5
