modelName,Q4 2023,Q4 2022,Year To Date,Year to Date Previous Year
Acura ILX,0,0,2,"6,296"
Acura Integra,"7,256","6,989","32,090","13,027"
Acura MDX,"12,680","13,211","57,599","46,425"
Acura NSX,0,87,5,298
Acura RDX,"12,026","5,013","39,228","24,749"
Acura RLX,0,0,0,3
Acura TLX,"3,158","2,354","16,731","11,508"
Alfa Romeo Giulia,766,"1,431","3,461","5,091"
Alfa Romeo Stelvio,"1,307","1,601","5,338","7,752"
Alfa Romeo Tonale,"1,234",0,"2,098",0
Audi A3,"2,997","2,750","13,626","11,349"
Audi A4,"2,642","4,413","13,369","15,239"
Audi A5,"5,484","4,772","23,807","18,349"
Audi A6,"2,420","1,722","8,317","6,005"
Audi A7,575,522,"1,808","2,240"
Audi A8,544,569,"2,259","1,593"
Audi e-Tron GT,778,314,"3,202","2,301"
Audi e-Tron Sportback,0,384,"2,757","2,893"
Audi eTron,0,"1,145","1,525","7,503"
Audi Q3,"7,807","6,441","20,440","23,045"
Audi Q4 e-tron,"2,082","1,872","8,146","2,576"
Audi Q4 e-tron Sportback,717,541,"2,608",569
Audi Q5,"19,438","19,780","74,143","57,053"
Audi Q6,"2,462",0,"2,462",0
Audi Q7,"5,022","5,973","26,470","17,887"
Audi Q8,"3,499","2,631","13,548","8,507"
Audi Q8 e-Tron,"2,262",0,"5,789",0
Audi Q8 Sportback e-tron,610,0,"1,527",0
Audi R8,255,108,630,299
Audi TT,112,115,725,461
BMW 2-Series,"4,296","2,370","11,619","11,551"
BMW 3-Series,"10,728","10,734","33,816","30,400"
BMW 4-Series,"11,348","13,552","50,778","36,952"
BMW 5-Series,"5,828","6,471","22,400","20,857"
BMW 7-Series,"3,238","2,071","10,810","5,974"
BMW 8-Series,"1,371","1,761","5,752","7,308"
BMW i3,0,0,0,9
BMW i8,0,0,0,3
BMW iX,"5,274","1,673","17,300","4,827"
BMW X1,"8,141","2,744","21,043","7,104"
BMW X2,15,330,191,"2,641"
BMW X3,"20,757","14,694","63,172","65,800"
BMW X4,"3,189","3,167","9,537","9,799"
BMW X5,"20,697","25,769","72,574","82,373"
BMW X6,"3,016","4,466","10,077","13,675"
BMW X7,"8,852","10,734","28,798","30,705"
BMW XM,702,0,"1,906",0
BMW Z4,429,363,"1,881","1,565"
Buick Enclave,"10,929","7,719","39,412","30,532"
Buick Encore,122,"2,487","5,888","13,717"
Buick Encore GX,"13,756","9,052","63,969","33,349"
Buick Envision,"9,439","7,663","44,282","25,870"
Buick Envista,"7,916",0,"13,301",0
Cadillac CT4,"1,806","2,181","9,144","9,270"
Cadillac CT5,"4,195","5,391","18,592","15,896"
Cadillac Escalade,"10,206","10,569","41,690","40,250"
Cadillac Lyriq,"3,821",87,"9,155",123
Cadillac XT4,"4,900","6,803","22,708","21,773"
Cadillac XT5,"6,496","8,446","26,808","27,340"
Cadillac XT6,"4,955","5,661","19,118","20,055"
Chevrolet Blazer,"16,653","16,631","65,512","67,247"
Chevrolet Bolt,"12,552","16,108","62,044","38,122"
Chevrolet Camaro,"6,341","5,475","31,029","24,652"
Chevrolet Colorado,"12,397","20,602","71,082","89,197"
Chevrolet Corvette,"8,916","12,130","34,354","37,510"
Chevrolet Equinox,"58,559","48,747","212,701","212,072"
Chevrolet Express,"10,114","16,359","40,659","52,796"
Chevrolet Malibu,"18,893","35,668","130,341","115,468"
Chevrolet Silverado,"143,390","141,912","555,148","520,936"
